,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
CBK,Christopher & Banks Corp,"Christopher & Banks Corp is a retailer of women's apparel and accessories, which operates retail stores through its wholly owned subsidiaries.",Distressed,http://www.christopherandbanks.com,65.2Mil,-51.0Mil,0.4Bil,"4,355",Consumer Cyclical,Apparel Stores
CHT,Chunghwa Telecom Co Ltd ADR,"Chunghwa Telecom Co Ltd provides telecommunication services. The Company's business segments include Domestic Fixed Communications, Mobile Communications, Internet, and International Fixed Communications and Others.",,http://www.cht.com.tw,25.4Bil,1.3Bil,7.3Bil,"32,734",Communication Services,Telecom Services
CHD,Church & Dwight Co Inc,"Church & Dwight Co Inc develops, manufactures and markets household, personal care and specialty products. The Company has ten power brands, ARM & HAMMER, TROJAN, OXICLEAN, SPINBRUSH, FIRST RESPONSE, NAIR, ORAJEL, L'IL CRITTERS, VITAFUSION, & XTRA.",Classic,http://www.churchdwight.com,11.6Bil,0.5Bil,3.5Bil,"4,400",Consumer Defensive,Household & Personal Products
CBR,Ciber Inc,"CIBER Inc is an information technology services company. The Company solves complex IT and business issues across various industries such as manufacturing, healthcare and life sciences, communications, energy and utilities and financial services.",Distressed,http://www.ciber.com,66.1Mil,-168.9Mil,0.7Bil,"6,000",Technology,Information Technology Services
CIEN,Ciena Corp,"Ciena Corp is a network specialist providing networking solutions. It provides equipment, software & services supporting the transport, switching, aggregation, service delivery & management of voice, video and data traffic on communications networks.",Cyclical,http://www.ciena.com,3.1Bil,22.2Mil,2.6Bil,"5,559",Technology,Communication Equipment
CI,Cigna Corp,"Cigna Corp is a health services organization. The Company provides medical, dental, disability, life and accident insurance and related products and services.",Aggressive,http://www.cigna.com,35.6Bil,1.9Bil,39.3Bil,"39,300",Healthcare,Health Care Plans
XEC,Cimarex Energy Co,Cimarex Energy Co is an oil and gas exploration and production company with operations focused in two main areas: the Mid-Continent region and the Permian Basin.,Hard,http://www.cimarex.com,11.9Bil,-1099.7Mil,1.2Bil,925,Energy,Oil & Gas E&P
CBB,Cincinnati Bell Inc,Cincinnati Bell Inc provides integrated communications and IT solutions that keep residential and business customers connected with each other and with the world.,Slow,http://www.cincinnatibell.com,0.8Bil,0.1Bil,1.2Bil,"3,400",Communication Services,Telecom Services
CNK,Cinemark Holdings Inc,"Cinemark Holdings Inc along with its subsidiaries operates in the motion picture exhibition industry with theatres in the U.S., Brazil, Argentina, Chile, Colombia, Peru, Ecuador, Honduras, El Salvador, Nicaragua, Costa Rica, Panama, Guatemala and Bolivia.",Classic,http://www.cinemark.com,4.8Bil,0.2Bil,2.9Bil,"19,300",Consumer Cyclical,Media - Diversified
CINR,Ciner Resources LP,Ciner Resources LP operates the trona ore mining and soda ash production business.,Cyclical,http://www.ociresources.com,0.6Bil,45.5Mil,0.5Bil,476,Basic Materials,Industrial Metals & Minerals
