MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
11/20/2014,48.7,,12/11/2015,6.34,,11/20/2014,68.06
11/21/2014,47.98,,12/14/2015,6.1,,11/21/2014,68.34
11/24/2014,47.59,,12/15/2015,6.2,,11/24/2014,67.95
11/25/2014,47.47,,12/16/2015,6.39,,11/25/2014,68.33
11/26/2014,47.75,,12/17/2015,6.1,,11/26/2014,68.69
11/28/2014,47.81,,12/18/2015,6,,11/28/2014,69.59
12/1/2014,48.62,,12/21/2015,6.4,,12/1/2014,69.4
12/2/2014,48.46,,12/22/2015,6.54,,12/2/2014,69.86
12/3/2014,48.08,,12/23/2015,6.68,,12/3/2014,69.06
12/4/2014,48.84,,12/24/2015,6.79,,12/4/2014,69.45
12/5/2014,48.42,,12/28/2015,6.7,,12/5/2014,69.37
12/8/2014,47.695,,12/29/2015,6.69,,12/8/2014,69.44
12/9/2014,47.59,,12/30/2015,6.66,,12/9/2014,69.33
12/10/2014,46.9,,12/31/2015,6.61,,12/10/2014,68.87
12/11/2014,47.17,,1/4/2016,6.6,,12/11/2014,69.28
12/12/2014,46.95,,1/5/2016,6.44,,12/12/2014,68.57
12/15/2014,46.67,,1/6/2016,6.36,,12/15/2014,67.95
12/16/2014,45.16,,1/7/2016,5.96,,12/16/2014,67.51
12/17/2014,45.74,,1/8/2016,5.8,,12/17/2014,68.66
12/18/2014,47.52,,1/11/2016,5.63,,12/18/2014,69.48
12/19/2014,47.66,,1/12/2016,5.76,,12/19/2014,69.98
12/22/2014,47.98,,1/13/2016,5.58,,12/22/2014,70.26
12/23/2014,48.45,,1/14/2016,5.6,,12/23/2014,71
12/24/2014,48.14,,1/15/2016,5.35,,12/24/2014,70.47
12/26/2014,47.88,,1/19/2016,4.97,,12/26/2014,70.88
12/29/2014,47.45,,1/20/2016,5.22,,12/29/2014,70.48
12/30/2014,47.02,,1/21/2016,5.56,,12/30/2014,70.04
12/31/2014,46.45,,1/22/2016,5.71,,12/31/2014,69.19
1/2/2015,46.76,,1/25/2016,5.2,,1/2/2015,69.04
1/5/2015,46.325,,1/26/2016,5.96,,1/5/2015,68.53
1/6/2015,45.65,,1/27/2016,5.6,,1/6/2015,67.81
1/7/2015,46.23,,1/28/2016,5.48,,1/7/2015,68.35
1/8/2015,47.59,,1/29/2016,5.57,,1/8/2015,69.28
1/9/2015,47.19,,2/1/2016,5.47,,1/9/2015,68.6
1/12/2015,46.6,,2/2/2016,5.22,,1/12/2015,68.26
1/13/2015,46.355,,2/3/2016,5.48,,1/13/2015,68.73
